count,avgPrice,vehicleType,year,power,mileage,brand,transmission,Damage
1,10,2,1991,238,150,0,0,0
2,1.75,2,1992,90,137.5,0,0,0
1,5.89,2,1993,238,150,0,0,0
6,4.198,2,1994,164.8,135,0,0,0
6,2.707,2,1995,139,136.667,0,0,0
10,2.939,2,1996,144.6,116.5,0,0,0
9,5.949,2,1997,172.6,121.111,0,0,0
4,3.225,2,1998,177,137.5,0,0,0
3,2.346,2,1999,162.7,126.667,0,0,0
7,4.77,2,2000,187.7,125.714,0,0,0
7,4.014,2,2001,150,142.857,0,0,0
4,2.925,2,2002,145.3,120,0,0,0
7,4.271,2,2003,147.4,110,0,0,0
2,4.525,2,2004,179.5,80,0,0,0
1,10.98,2,2005,140,20,0,0,0
4,10.974,2,2006,258.5,113.75,0,0,0
1,12.9,2,2007,165,100,0,0,0
2,8.325,2,2008,315,90,0,0,0
1,10.5,2,2009,126,80,0,0,0
8,25.9,2,2010,357.1,35,0,0,0
5,30.219,2,2011,363.4,40,0,0,0
15,18.804,2,2012,233.9,40.667,0,0,0
2,28.75,2,2013,328,25,0,0,0
2,23.399,2,2014,200,30,0,0,0
1,6,2,2016,167,150,0,0,0
4,0.62,4,1991,96,108.75,0,0,0
8,0.685,4,1992,65.6,121.25,0,0,0
12,1.18,4,1993,88.3,107.083,0,0,0
12,0.943,4,1994,78,133.333,0,0,0
22,1.067,4,1995,79.3,113.409,0,0,0
38,1.113,4,1996,81.4,126.842,0,0,0
47,1.295,4,1997,94.7,124.255,0,0,0
50,1.808,4,1998,102.6,108.2,0,0,0
74,1.453,4,1999,98.9,129.324,0,0,0
37,1.854,4,2000,103.3,121.622,0,0,0
72,1.821,4,2001,107,126.111,0,0,0
46,2.135,4,2002,98.7,122.609,0,0,0
85,2.804,4,2003,131.7,125.176,0,0,0
48,3.498,4,2004,114.1,128.75,0,0,0
55,4.181,4,2005,103.3,104.909,0,0,0
55,5.606,4,2006,111.6,104.273,0,0,0
43,6.61,4,2007,115.6,105.93,0,0,0
56,7.312,4,2008,118.1,97.321,0,0,0
72,8.655,4,2009,118.8,84.792,0,0,0
46,10.909,4,2010,136.8,80.978,0,0,0
51,12.008,4,2011,130.8,80,0,0,0
44,11.989,4,2012,105.8,46.364,0,0,0
48,14.415,4,2013,114,39.792,0,0,0
27,14.526,4,2014,103.8,23.333,0,0,0
16,22.462,4,2015,124.8,12.188,0,0,0
2,15.855,4,2016,83,5,0,0,0
7,2.5,6,1991,100.3,150,0,0,0
1,8.5,6,1993,160,150,0,0,0
1,1.7,6,1994,128,150,0,0,0
7,3.021,6,1995,138.1,150,0,0,0
5,5.8,6,1996,152,130,0,0,0
6,4.008,6,1997,143.5,150,0,0,0
6,3.397,6,1998,148.3,145.833,0,0,0
10,3.364,6,1999,130.3,137.5,0,0,0
18,5.179,6,2000,146.6,123.056,0,0,0
27,4.754,6,2001,164.8,141.111,0,0,0
20,6.317,6,2002,165.3,142.5,0,0,0
33,5.135,6,2003,146.8,134.091,0,0,0
60,5.28,6,2004,164.2,141.833,0,0,0
68,6.803,6,2005,167.8,136.985,0,0,0
97,8.311,6,2006,162.4,136.34,0,0,0
69,10.575,6,2007,185.6,135.507,0,0,0
61,11.959,6,2008,175.5,120.984,0,0,0
52,14.118,6,2009,181,121.923,0,0,0
69,15.821,6,2010,181.9,103.116,0,0,0
77,17.765,6,2011,175.2,84.416,0,0,0
66,19.775,6,2012,178.1,74.47,0,0,0
45,21.341,6,2013,174.3,48.111,0,0,0
52,27.866,6,2014,185.4,35.769,0,0,0
34,28.892,6,2015,169.7,16.912,0,0,0
2,26.995,6,2016,165,5,0,0,0
1,0.799,8,1991,165,150,0,0,0
1,0.6,8,1994,136,150,0,0,0
1,0.85,8,1995,113,150,0,0,0
1,1.5,8,1996,115,150,0,0,0
9,1.375,8,1997,130.1,144.444,0,0,0
11,1.291,8,1998,147.5,147.727,0,0,0
12,1.333,8,1999,151.3,93.75,0,0,0
13,1.342,8,2000,119.4,148.077,0,0,0
9,1.906,8,2001,146.1,142.222,0,0,0
9,2.378,8,2002,125.3,130,0,0,0
12,2.393,8,2003,129,147.917,0,0,0
18,4.355,8,2004,156.3,121.389,0,0,0
18,4.971,8,2005,131.4,141.111,0,0,0
7,6.225,8,2006,152.7,146.429,0,0,0
2,6.55,8,2007,143.5,112.5,0,0,0
4,7.585,8,2008,153.8,135,0,0,0
6,11.532,8,2009,149.8,117.5,0,0,0
6,14.24,8,2010,169,90,0,0,0
3,12.818,8,2011,145.3,103.333,0,0,0
10,16.249,8,2012,134.1,83.5,0,0,0
19,17.307,8,2013,125.3,62.632,0,0,0
15,20.198,8,2014,146.2,38,0,0,0
6,22.873,8,2015,141.7,17.5,0,0,0
3,1.483,10,1996,140.7,120,0,0,0
7,1.771,10,1999,129,119.286,0,0,0
12,1.869,10,2000,117.8,145.833,0,0,0
27,1.866,10,2001,130.5,143.519,0,0,0
9,1.899,10,2002,145.9,150,0,0,0
29,2.592,10,2003,126.3,134.655,0,0,0
29,3.229,10,2004,134,122.931,0,0,0
18,3.967,10,2005,137.2,142.778,0,0,0
16,5.301,10,2006,155.9,129.063,0,0,0
11,6.005,10,2007,147,117.727,0,0,0
13,7.613,10,2008,153.5,129.615,0,0,0
11,10.14,10,2009,140.5,102.727,0,0,0
2,10.2,10,2010,150,150,0,0,0
7,12.627,10,2011,126.6,56.429,0,0,0
12,15.618,10,2012,146.9,65.417,0,0,0
5,15.508,10,2013,131,57,0,0,0
6,23.283,10,2014,165.5,31.667,0,0,0
1,15,10,2015,129,20,0,0,0
1,1.3,2,1992,88,90,0,0,1
2,0.7,2,1994,137.5,150,0,0,1
4,1.3,2,1997,172.8,101.25,0,0,1
2,1.625,2,1998,200,150,0,0,1
2,6.1,2,2001,210,120,0,0,1
1,0.9,2,2004,133,150,0,0,1
3,7.267,2,2006,280,110,0,0,1
2,0.425,4,1991,157.5,137.5,0,0,1
6,0.547,4,1992,116.7,121.667,0,0,1
1,1.4,4,1993,88,125,0,0,1
3,0.516,4,1994,71.3,125,0,0,1
5,0.386,4,1995,87.2,140,0,0,1
10,0.584,4,1996,86,130.5,0,0,1
10,0.831,4,1997,112.5,145,0,0,1
16,0.674,4,1998,93.9,129.375,0,0,1
9,0.588,4,1999,126.9,144.444,0,0,1
6,1.238,4,2000,113,121.667,0,0,1
7,0.723,4,2001,89.1,135,0,0,1
9,1.628,4,2002,104.4,126.111,0,0,1
7,1.935,4,2003,85.7,107.857,0,0,1
12,2.078,4,2004,99.3,118.333,0,0,1
2,2.425,4,2005,130.5,150,0,0,1
5,2.31,4,2006,102.8,120,0,0,1
6,4.392,4,2007,108.3,119.167,0,0,1
2,4.3,4,2008,92,97.5,0,0,1
2,6,4,2009,95.5,55,0,0,1
2,5.05,4,2010,77.5,115,0,0,1
2,10.9,4,2012,119,40,0,0,1
2,11.1,4,2013,87,77.5,0,0,1
1,6,4,2015,80,10,0,0,1
4,1.035,6,1996,105.8,150,0,0,1
1,0.9,6,1998,170,150,0,0,1
3,2.43,6,1999,170.3,150,0,0,1
2,2.35,6,2000,147,150,0,0,1
6,1.875,6,2001,148.7,123.333,0,0,1
3,1.763,6,2002,184.7,150,0,0,1
2,2.675,6,2003,176.5,150,0,0,1
11,2.966,6,2004,351.6,147.727,0,0,1
14,4.091,6,2005,168.8,148.214,0,0,1
8,5.385,6,2006,151.4,134.375,0,0,1
4,6.475,6,2007,180.3,143.75,0,0,1
2,6.175,6,2008,173.5,150,0,0,1
4,7.213,6,2009,187.3,137.5,0,0,1
1,9.9,6,2010,169,70,0,0,1
2,6.14,6,2011,188.5,125,0,0,1
1,13.5,6,2012,156,125,0,0,1
3,14.6,6,2013,186,60,0,0,1
3,3.576,6,2015,122.3,11.667,0,0,1
1,26.2,6,2016,155,5,0,0,1
1,0.001,8,1995,150,150,0,0,1
2,0.32,8,1996,123,150,0,0,1
1,0.4,8,1997,116,150,0,0,1
6,0.882,8,1998,141.3,126.667,0,0,1
5,0.445,8,1999,138.8,150,0,0,1
2,0.775,8,2000,132.5,150,0,0,1
3,2,8,2001,133.3,133.333,0,0,1
5,1.63,8,2002,146.8,150,0,0,1
5,1.97,8,2003,148,138,0,0,1
7,1.607,8,2004,126.1,132.857,0,0,1
1,3.099,8,2006,129,150,0,0,1
1,11,8,2011,136,125,0,0,1
1,16,8,2012,135,80,0,0,1
2,0.175,10,1995,122,150,0,0,1
2,0.7,10,1997,95,115,0,0,1
1,0.64,10,1999,69,125,0,0,1
1,1.15,10,2000,113,150,0,0,1
5,0.89,10,2001,119,114,0,0,1
5,1.1,10,2002,149.8,150,0,0,1
4,1.385,10,2003,142.5,150,0,0,1
8,2.45,10,2004,138.8,136.25,0,0,1
3,2.283,10,2005,134,141.667,0,0,1
5,3.48,10,2006,180.6,136,0,0,1
1,4.8,10,2007,110,90,0,0,1
1,10.4,10,2009,150,100,0,0,1
58,4.737,2,1991,142.2,137.845,0,1,0
69,3.613,2,1992,134.7,133.551,0,1,0
46,3.562,2,1993,128.9,131.848,0,1,0
47,2.84,2,1994,131.2,133.511,0,1,0
68,3.451,2,1995,129.6,139.412,0,1,0
90,2.692,2,1996,117.1,141.333,0,1,0
88,2.491,2,1997,128.6,139.943,0,1,0
133,3.254,2,1998,125.6,136.955,0,1,0
